RHO;Q
0;0
0.006;0.027829
0.012;0.055492
0.018;0.083199
0.024;0.110801
0.03;0.138143
0.036;0.166211
0.042;0.193392
0.048;0.220881
0.054;0.248126
0.06;0.275905
0.066;0.30215
0.072;0.330138
0.078;0.355342
0.084;0.381881
0.09;0.406969
0.096;0.427309
0.103;0.427508
0.109;0.422386
0.115;0.430894
0.121;0.420137
0.127;0.415988
0.133;0.422336
0.139;0.415135
0.145;0.423233
0.151;0.413006
0.157;0.42067
0.163;0.420662
0.169;0.405112
0.175;0.411028
0.181;0.406326
0.187;0.404181
0.193;0.398933
0.2;0.400202
0.206;0.397691
0.212;0.392458
0.218;0.388182
0.224;0.385534
0.23;0.383787
0.236;0.383207
0.242;0.381404
0.248;0.381491
0.254;0.37658
0.26;0.374872
0.266;0.372892
0.272;0.373353
0.278;0.371135
0.284;0.367786
0.29;0.363797
0.296;0.361147
0.303;0.358676
0.309;0.356267
0.315;0.351595
0.321;0.350834
0.327;0.346447
0.333;0.347433
0.339;0.342512
0.345;0.339474
0.351;0.337235
0.357;0.335321
0.363;0.333671
0.369;0.327703
0.375;0.328702
0.381;0.32645
0.387;0.322675
0.393;0.317989
0.4;0.314912
0.406;0.31457
0.412;0.313353
0.418;0.307448
0.424;0.308578
0.43;0.30044
0.436;0.300188
0.442;0.297863
0.448;0.296312
0.454;0.294637
0.46;0.289301
0.466;0.285809
0.472;0.283827
0.478;0.280981
0.484;0.277894
0.49;0.276887
0.496;0.274393
0.503;0.269248
0.509;0.268954
0.515;0.264238
0.521;0.260817
0.527;0.257889
0.533;0.255616
0.539;0.253043
0.545;0.250584
0.551;0.247679
0.557;0.243882
0.563;0.241354
0.569;0.238984
0.575;0.2359
0.581;0.232464
0.587;0.229446
0.593;0.227132
0.6;0.222071
