RHO;Q
0;0
0.006;0.028683 
0.012;0.057287 
0.018;0.086011 
0.024;0.114529 
0.03;0.143044 
0.036;0.171792 
0.042;0.200368 
0.048;0.228677 
0.054;0.257031 
0.06;0.285713 
0.066;0.313843 
0.072;0.342686 
0.078;0.369257 
0.084;0.398351 
0.09;0.426044 
0.096;0.454071 
0.103;0.484654 
0.109;0.509841 
0.115;0.535073 
0.121;0.549389 
0.127;0.542145 
0.133;0.558471 
0.139;0.552544 
0.145;0.558639 
0.151;0.546336 
0.157;0.551435 
0.163;0.548462 
0.169;0.550439 
0.175;0.528734 
0.181;0.535856 
0.187;0.534161 
0.193;0.531162 
0.2;0.523414 
0.206;0.525074 
0.212;0.522578 
0.218;0.522859 
0.224;0.51232 
0.23;0.508021 
0.236;0.506919 
0.242;0.505726 
0.248;0.500555 
0.254;0.500917 
0.26;0.497892 
0.266;0.488134 
0.272;0.490903 
0.278;0.484765 
0.284;0.482244 
0.29;0.481351 
0.296;0.473282 
0.303;0.472455 
0.309;0.469682 
0.315;0.46443 
0.321;0.46421 
0.327;0.46145 
0.333;0.455752 
0.339;0.449682 
0.345;0.451016 
0.351;0.443958 
0.357;0.442445 
0.363;0.439765 
0.369;0.433979 
0.375;0.430079 
0.381;0.426594 
0.387;0.42301 
0.393;0.418286 
0.4;0.416545 
0.406;0.410499 
0.412;0.409436 
0.418;0.403014 
0.424;0.40212 
0.43;0.397575 
0.436;0.395029 
0.442;0.390562 
0.448;0.386727 
0.454;0.381688 
0.46;0.37827 
0.466;0.374146 
0.472;0.371004 
0.478;0.366875 
0.484;0.363209 
0.49;0.358966 
0.496;0.356036 
0.503;0.351406 
0.509;0.350385 
0.515;0.343702 
0.521;0.341176 
0.527;0.335784 
0.533;0.332154 
0.539;0.327665 
0.545;0.325369 
0.551;0.321397 
0.557;0.318119 
0.563;0.31255 
0.569;0.309549 
0.575;0.306265 
0.581;0.30194 
0.587;0.298283 
0.593;0.294233 
0.6;0.29002 
