RHO;Q
0;0
0.006;0.026482
0.012;0.051302
0.018;0.077505
0.024;0.102643
0.03;0.127174
0.036;0.151844
0.042;0.175128
0.048;0.200146
0.054;0.221622
0.06;0.246223
0.066;0.267931
0.072;0.290674
0.078;0.311984
0.084;0.331425
0.09;0.349917
0.096;0.366763
0.103;0.383361
0.109;0.401068
0.115;0.402934
0.121;0.395671
0.127;0.406463
0.133;0.414241
0.139;0.40517
0.145;0.404073
0.151;0.404896
0.157;0.404243
0.163;0.411454
0.169;0.40739
0.175;0.401209
0.181;0.400649
0.187;0.396964
0.193;0.401661
0.2;0.392706
0.206;0.39425
0.212;0.390213
0.218;0.393018
0.224;0.389627
0.23;0.388474
0.236;0.384304
0.242;0.382322
0.248;0.380297
0.254;0.37812
0.26;0.373271
0.266;0.372352
0.272;0.372527
0.278;0.368068
0.284;0.362664
0.29;0.364198
0.296;0.365124
0.303;0.355766
0.309;0.353131
0.315;0.351916
0.321;0.349007
0.327;0.346089
0.333;0.344671
0.339;0.345874
0.345;0.339489
0.351;0.337536
0.357;0.334723
0.363;0.3344
0.369;0.330548
0.375;0.327763
0.381;0.324504
0.387;0.323069
0.393;0.318654
0.4;0.316663
0.406;0.315465
0.412;0.311592
0.418;0.307767
0.424;0.307232
0.43;0.30197
0.436;0.301423
0.442;0.298649
0.448;0.295397
0.454;0.292022
0.46;0.291019
0.466;0.288512
0.472;0.282119
0.478;0.282029
0.484;0.277333
0.49;0.276489
0.496;0.272977
0.503;0.270673
0.509;0.265442
0.515;0.264887
0.521;0.261491
0.527;0.258081
0.533;0.255423
0.539;0.25281
0.545;0.250739
0.551;0.24746
0.557;0.243176
0.563;0.241506
0.569;0.239001
0.575;0.236139
0.581;0.232427
0.587;0.229132
0.593;0.226713
0.6;0.223593
