RHO;Q
0;0
0.002;0.010797
0.004;0.0215411
0.006;0.0320723
0.008;0.0429779
0.01;0.0533977
0.012;0.0639184
0.014;0.0747183
0.016;0.0850467
0.018;0.0953272
0.02;0.105899
0.022;0.116639
0.024;0.126764
0.026;0.1369
0.028;0.14705
0.03;0.157652
0.032;0.167778
0.034;0.178067
0.036;0.188196
0.038;0.197922
0.04;0.207423
0.042;0.218018
0.044;0.227924
0.046;0.237673
0.048;0.247872
0.05;0.257362
0.052;0.267517
0.054;0.276784
0.056;0.286336
0.058;0.295924
0.06;0.305246
0.062;0.315637
0.064;0.32499
0.066;0.333946
0.068;0.343497
0.07;0.352811
0.072;0.361451
0.074;0.370258
0.076;0.37945
0.078;0.387108
0.08;0.395423
0.082;0.403589
0.084;0.409832
0.086;0.413727
0.088;0.422575
0.09;0.423712
0.092;0.429248
0.094;0.425935
0.096;0.427662
0.098;0.426883
0.101;0.422218
0.103;0.425349
0.105;0.427224
0.107;0.426861
0.109;0.428252
0.111;0.426459
0.113;0.427108
0.115;0.418622
0.117;0.422817
0.119;0.424474
0.121;0.420599
0.123;0.42136
0.125;0.420722
0.127;0.423433
0.129;0.419731
0.131;0.418115
0.133;0.419876
0.135;0.416547
0.137;0.419895
0.139;0.416152
0.141;0.417603
0.143;0.417872
0.145;0.413282
0.147;0.411657
0.149;0.410107
0.151;0.414232
0.153;0.413058
0.155;0.411557
0.157;0.412924
0.159;0.407212
0.161;0.412201
0.163;0.409972
0.165;0.410166
0.167;0.409469
0.169;0.408934
0.171;0.407199
0.173;0.405755
0.175;0.404884
0.177;0.405287
0.179;0.40372
0.181;0.402168
0.183;0.402794
0.185;0.402469
0.187;0.39837
0.189;0.39965
0.191;0.396749
0.193;0.400409
0.195;0.396727
0.197;0.3974
0.2;0.396914
