RHO;Q
0;0
0.002;0.0093011
0.004;0.0185893
0.006;0.0278505
0.008;0.0371608
0.01;0.0464683
0.012;0.0557137
0.014;0.0650266
0.016;0.0743335
0.018;0.0836383
0.02;0.0928774
0.022;0.102118
0.024;0.11142
0.026;0.120603
0.028;0.130027
0.03;0.139102
0.032;0.148432
0.034;0.157655
0.036;0.167033
0.038;0.176176
0.04;0.185386
0.042;0.19463
0.044;0.203922
0.046;0.213015
0.048;0.222373
0.05;0.231571
0.052;0.240711
0.054;0.249773
0.056;0.259008
0.058;0.26819
0.06;0.277404
0.062;0.286577
0.064;0.295721
0.066;0.304782
0.068;0.313709
0.07;0.323224
0.072;0.332155
0.074;0.341256
0.076;0.350389
0.078;0.35919
0.08;0.368459
0.082;0.376644
0.084;0.385937
0.086;0.394846
0.088;0.403002
0.09;0.412241
0.092;0.417047
0.094;0.425652
0.096;0.427796
0.098;0.433359
0.101;0.436717
0.103;0.426617
0.105;0.42539
0.107;0.427429
0.109;0.425142
0.111;0.426679
0.113;0.423515
0.115;0.426363
0.117;0.419588
0.119;0.426486
0.121;0.422498
0.123;0.423638
0.125;0.420922
0.127;0.422055
0.129;0.421721
0.131;0.418045
0.133;0.416922
0.135;0.419496
0.137;0.417382
0.139;0.418762
0.141;0.419411
0.143;0.416965
0.145;0.417123
0.147;0.41252
0.149;0.416091
0.151;0.414705
0.153;0.409625
0.155;0.413426
0.157;0.410283
0.159;0.409814
0.161;0.411938
0.163;0.411715
0.165;0.410996
0.167;0.406655
0.169;0.410245
0.171;0.408201
0.173;0.407644
0.175;0.406332
0.177;0.403575
0.179;0.404024
0.181;0.406126
0.183;0.403254
0.185;0.401084
0.187;0.403768
0.189;0.400423
0.191;0.400452
0.193;0.401537
0.195;0.399425
0.197;0.398262
0.2;0.397919
