T;P;V
0;2;0
0;3;0
0;6;0
0;7;0
0;9;0
0;10;0
0;12;0
0;14;0
0;15;0
0;17;0
0;19;0
0;21;0
0;22;0
0;23;0
0;26;0
0;28;0
0;31;0
0;33;0
0;34;0
0;35;0
0;36;0
0;41;0
0;44;0
0;47;0
0;49;0
0;53;0
0;55;0
0;57;0
0;58;0
0;60;0
0;62;0
0;63;0
0;64;0
0;65;0
0;66;0
0;68;0
0;70;0
0;71;0
0;72;0
0;73;0
0;76;0
0;77;0
0;80;0
0;81;0
0;85;0
0;88;0
0;90;0
0;94;0
0;95;0
0;97;0
1;2;0
1;4;1
1;6;0
1;7;0
1;9;0
1;11;1
1;12;0
1;14;0
1;16;1
1;18;1
1;20;1
1;21;0
1;22;0
1;24;1
1;27;1
1;28;0
1;32;1
1;33;0
1;34;0
1;35;0
1;37;1
1;42;1
1;45;1
1;48;1
1;49;0
1;54;1
1;56;1
1;57;0
1;59;1
1;61;1
1;62;0
1;63;0
1;64;0
1;65;0
1;67;1
1;69;1
1;70;0
1;71;0
1;72;0
1;74;1
1;76;0
1;78;1
1;80;0
1;82;1
1;86;1
1;89;1
1;91;1
1;94;0
1;96;1
1;98;1
2;3;1
2;5;1
2;6;0
2;8;1
2;10;1
2;11;0
2;13;1
2;15;1
2;17;1
2;19;1
2;20;0
2;21;0
2;23;1
2;26;2
2;27;0
2;29;1
2;32;0
2;33;0
2;34;0
2;36;1
2;39;2
2;44;2
2;47;2
2;48;0
2;50;1
2;55;1
2;56;0
2;58;1
2;60;1
2;61;0
2;62;0
2;63;0
2;64;0
2;66;1
2;68;1
2;69;0
2;70;0
2;71;0
2;72;0
2;75;1
2;77;1
2;78;0
2;81;1
2;84;2
2;88;2
2;90;1
2;92;1
2;95;1
2;97;1
2;0;2
3;4;1
3;5;0
3;7;1
3;8;0
3;10;0
3;12;1
3;14;1
3;16;1
3;17;0
3;19;0
3;20;0
3;22;1
3;24;1
3;26;0
3;28;1
3;31;2
3;32;0
3;33;0
3;35;1
3;38;2
3;42;3
3;46;2
3;47;0
3;49;1
3;51;1
3;55;0
3;57;1
3;59;1
3;60;0
3;61;0
3;62;0
3;63;0
3;65;1
3;66;0
3;68;0
3;69;0
3;70;0
3;71;0
3;72;0
3;75;0
3;77;0
3;78;0
3;83;2
3;87;3
3;89;1
3;91;1
3;94;2
3;95;0
3;99;2
3;2;2
4;4;0
4;6;1
4;7;0
4;8;0
4;10;0
4;12;0
4;15;1
4;16;0
4;18;1
4;19;0
4;21;1
4;23;1
4;25;1
4;27;1
4;30;2
4;31;0
4;32;0
4;33;0
4;37;2
4;41;3
4;45;3
4;46;0
4;48;1
4;50;1
4;53;2
4;56;1
4;58;1
4;59;0
4;60;0
4;61;0
4;62;0
4;64;1
4;65;0
4;67;1
4;68;0
4;69;0
4;70;0
4;71;0
4;73;1
4;75;0
4;77;0
4;79;1
4;86;3
4;88;1
4;90;1
4;93;2
4;94;0
4;95;0
4;1;2
4;3;1
5;5;1
5;6;0
5;7;0
5;9;1
5;11;1
5;13;1
5;15;0
5;17;1
5;18;0
5;20;1
5;22;1
5;24;1
5;26;1
5;29;2
5;30;0
5;31;0
5;32;0
5;33;0
5;40;3
5;44;3
