T;P;V
0;1;0
0;41;0
0;52;0
0;69;0
0;102;0
0;106;0
0;113;0
0;137;0
0;161;0
0;186;0
0;222;0
0;243;0
0;245;0
0;276;0
0;298;0
0;306;0
0;307;0
0;311;0
0;319;0
0;364;0
1;2;1
1;41;0
1;52;0
1;69;0
1;103;1
1;107;1
1;114;1
1;138;1
1;161;0
1;186;0
1;222;0
1;243;0
1;245;0
1;277;1
1;299;1
1;306;0
1;308;1
1;311;0
1;319;0
1;364;0
2;3;1
2;42;1
2;53;1
2;70;1
2;105;2
2;109;2
2;116;2
2;139;1
2;162;1
2;186;0
2;223;1
2;244;1
2;246;1
2;279;2
2;301;2
2;307;1
2;310;2
2;312;1
2;320;1
2;365;1
3;5;2
3;44;2
3;54;1
3;72;2
3;107;2
3;112;3
3;118;2
3;140;1
3;164;2
3;187;1
3;225;2
3;245;1
3;248;2
3;281;2
3;304;3
3;309;2
3;311;1
3;313;1
3;321;1
3;367;2
4;8;3
4;46;2
4;55;1
4;75;3
4;109;2
4;116;4
4;121;3
4;142;2
4;167;3
4;189;2
4;228;3
4;247;2
4;250;2
4;284;3
4;308;4
4;310;1
4;312;1
4;314;1
4;323;2
4;370;3
5;12;4
5;49;3
5;57;2
5;79;4
5;112;3
5;120;4
5;125;4
5;144;2
5;171;4
5;192;3
5;232;4
5;248;1
5;253;3
5;288;4
5;308;0
5;311;1
5;313;1
5;316;2
5;326;3
5;373;3
6;17;5
6;53;4
6;60;3
6;84;5
6;115;3
6;123;3
6;130;5
6;147;3
6;176;5
6;196;4
6;236;4
6;250;2
6;257;4
6;292;4
6;309;1
6;312;1
6;314;1
6;319;3
6;330;4
6;377;4
7;21;4
7;58;5
7;64;4
7;89;5
7;119;4
7;127;4
7;135;5
7;151;4
7;181;5
7;201;5
7;240;4
7;252;2
7;261;4
7;297;5
7;311;2
7;313;1
7;316;2
7;323;4
7;335;5
7;381;4
8;26;5
8;63;5
8;68;4
8;93;4
8;124;5
8;132;5
8;140;5
8;156;5
8;185;4
8;206;5
8;245;5
8;255;3
8;266;5
8;302;5
8;311;0
8;315;2
8;319;3
8;328;5
8;340;5
8;385;4
9;30;4
9;67;4
9;72;4
9;98;5
9;129;5
9;137;5
9;145;5
9;161;5
9;190;5
9;211;5
9;250;5
9;259;4
9;271;5
9;307;5
9;311;0
9;317;2
9;322;3
9;333;5
9;345;5
9;389;4
10;34;4
10;71;4
10;76;4
10;103;5
10;134;5
10;141;4
10;150;5
10;166;5
10;195;5
10;215;4
10;254;4
10;264;5
10;275;4
10;310;3
10;312;1
10;320;3
10;325;3
10;337;4
10;350;5
10;394;5
11;39;5
11;75;4
11;81;5
11;108;5
11;139;5
11;146;5
11;155;5
11;170;4
11;200;5
11;219;4
11;259;5
11;268;4
11;279;4
11;310;0
11;313;1
11;324;4
11;329;4
11;342;5
11;355;5
11;399;5
12;43;4
12;80;5
12;85;4
12;113;5
12;144;5
12;151;5
12;159;4
12;175;5
12;205;5
12;224;5
12;263;4
12;273;5
12;284;5
12;311;1
12;315;2
12;328;4
12;334;5
12;347;5
12;359;4
12;4;5
13;47;4
13;83;3
13;89;4
13;118;5
13;148;4
13;156;5
13;164;5
13;179;4
13;210;5
13;229;5
13;267;4
13;278;5
13;289;5
13;312;1
13;318;3
13;332;4
13;339;5
13;351;4
13;363;4
13;9;5
14;52;5
14;86;3
14;94;5
14;122;4
14;153;5
14;161;5
14;169;5
14;184;5
14;215;5
14;233;4
14;271;4
14;282;4
14;294;5
14;314;2
14;322;4
14;337;5
14;344;5
14;356;5
14;368;5
14;14;5
15;57;5
15;90;4
15;99;5
15;127;5
15;158;5
15;166;5
15;174;5
15;188;4
15;219;4
15;238;5
15;276;5
15;287;5
15;298;4
15;317;3
15;326;4
15;342;5
15;348;4
15;361;5
15;372;4
15;19;5
16;61;4
16;95;5
16;104;5
16;131;4
16;163;5
16;170;4
16;178;4
16;193;5
16;224;5
16;243;5
16;280;4
16;292;5
16;303;5
16;321;4
16;330;4
16;347;5
16;352;4
16;366;5
16;376;4
16;24;5
17;66;5
17;100;5
17;108;4
17;136;5
17;167;4
17;175;5
17;182;4
17;198;5
17;228;4
17;248;5
17;284;4
17;296;4
17;307;4
17;326;5
17;334;4
17;351;4
17;357;5
17;371;5
17;380;4
